Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
11;77;Belleville;3;Avant 1946;meublé;26.2;31.44;18.34;2021;PARIS;7512077
13;72;La Chapelle;2;Apres 1990;non meublé;21.2;25.44;14.84;2021;PARIS;7511872
2;24;Saint-Germain-des-Prés;2;Apres 1990;meublé;30.5;36.6;21.35;2021;PARIS;7510624
2;24;Saint-Germain-des-Prés;4;1946-1970;meublé;26.1;31.32;18.27;2021;PARIS;7510624
14;45;Bel-Air;4;1946-1970;meublé;20.9;25.08;14.63;2021;PARIS;7511245
2;1;St-Germain-l'Auxerrois;2;1971-1990;non meublé;26.0;31.2;18.2;2021;PARIS;7510101
2;1;St-Germain-l'Auxerrois;4;Apres 1990;non meublé;26.2;31.44;18.34;2021;PARIS;7510101
4;8;Bonne-Nouvelle;2;1971-1990;meublé;25.9;31.08;18.13;2021;PARIS;7510208
4;9;Arts-et-Metiers;3;Avant 1946;non meublé;25.3;30.36;17.71;2021;PARIS;7510309
8;57;Saint-Lambert;2;1946-1970;non meublé;22.0;26.4;15.4;2021;PARIS;7511557
2;15;Arsenal;4;Apres 1990;non meublé;26.2;31.44;18.34;2021;PARIS;7510415
2;30;Faubourg-du-Roule;3;1946-1970;meublé;24.8;29.76;17.36;2021;PARIS;7510830
3;32;Europe;4;1946-1970;meublé;27.6;33.12;19.32;2021;PARIS;7510832
14;76;Combat;3;Apres 1990;meublé;25.7;30.8;18.0;2019;PARIS;7511976
13;73;Villette;2;1946-1970;non meublé;19.2;23.04;13.44;2021;PARIS;7511973
5;37;Saint-Vincent-de-Paul;4;Avant 1946;non meublé;19.8;23.8;13.9;2019;PARIS;7511037
2;1;St-Germain-l'Auxerrois;2;1971-1990;meublé;28.4;34.1;19.9;2019;PARIS;7510101
3;64;Chaillot;2;1946-1970;non meublé;25.6;30.7;17.9;2019;PARIS;7511664
5;2;Halles;1;Apres 1990;non meublé;28.7;34.44;20.09;2021;PARIS;7510102
2;4;Place-Vendôme;2;1946-1970;meublé;30.1;36.1;21.1;2019;PARIS;7510104
2;4;Place-Vendôme;1;Avant 1946;meublé;37.2;44.64;26.04;2021;PARIS;7510104
4;8;Bonne-Nouvelle;2;Avant 1946;non meublé;28.1;33.72;19.67;2021;PARIS;7510208
2;5;Gaillon;3;Apres 1990;non meublé;24.8;29.76;17.36;2021;PARIS;7510205
5;33;Saint-Georges;1;1971-1990;non meublé;26.3;31.6;18.4;2019;PARIS;7510933
11;77;Belleville;2;1971-1990;non meublé;23.3;27.96;16.31;2021;PARIS;7512077
13;75;Amérique;1;Apres 1990;meublé;26.1;31.32;18.27;2021;PARIS;7511975
6;65;Ternes;3;Avant 1946;non meublé;25.1;30.12;17.57;2021;PARIS;7511765
